label,text
positive,"Песня Полины Гагариной для Евровидения в 2015-м году.
Шикарная песня, шикарный вокал, шикарная музыка.

Очень жаль, что политическая ситуация складывается так, как складывается и Полине ничего не светит 
на этом странном, и бесполезном для
Мира Настоящего Искусства, конкурсе. 

Спасибо Константину и Полине за чудесную композицию.
Вангую - ждем море отличных ремиксов ;)"
neutral,"Писала не грамотно так не я ,не подумайте:3"
neutral,"Мне то же подсуропило с данным номером…Но интересно, что я эту услугу не заказывал,смс не отправлял… всё шло мимо моего телефона(следов отправки не обнаружено), но не мимо моего счёта…
проработал вопрос в личном кабинете мтс, распечатал детализацию, выделил номера ухода средств, проработал информацию о них в нете, отключил услугу через кабинет, позвонил на 0890 и сказал что бы мне вернули деньги, отобранные мошенническими действиями не без тесного участия мтс…и пригрозил заявлением в прокуратуру, объяснив что всё досконально проработано и разложено по полочкам….
обещали вернуть в течении 2 суток
а до этого девушка в службе поддержки клялась, что они не могут и не имеют такого права возвращать средства…типа я сам виноват и с меня спрос….
посмотрим…."
neutral,"я же тебя говорила, что у тебя талант художника , йоу"
neutral,И тебя так же*
neutral,"Чему нужно учить своих детей - держать в курсе, обещать и делать, не забывать свои слова, не терять время зря, не верить людям на слово, не вестить на авторитеты.
А чему их учат в школе каждый день в течении 10 лет?"
neutral,а чо матч слитый штоле?
positive,Я очень сильно соскучилась!!! Скорее приезжай!!!
neutral,Горный - как же сложно от туда уезжать!!!!!)))))))))
negative,"Устал, труды мои тяжкие, праведные....все для людей, ничего для себя..."
negative,"Санечка разрушил гнездо, но был посажен в карцер."
positive,"Для сладких снов нужна подушка,для женских праздников цвети,для хорошей дружбы подружка такая класная как ТЫ...)*"
positive,"люблю ли я свой класс?
конечно, люблю. я могу
говорить, что они тупые
идиоты, и мне за них
стыдно. но когда видишь
эти лица каждый день в
течение многих лет, они
становятся родными. и
пусть они ведут себя как
ненормальные, но я их
очень люблю...*"
neutral,"Ребята, материте меня, ругайте завтра, обществознание на 5 хочу сдааать!("
neutral,"а ведь правда??! где они?! как они выглядят?! или сразу рождаются  большими и толстыми?
"
negative,БИЛЯТЬ Москвичи Приветливей чем Сука Туляки!!!! PS....ВАААААДИк!!!!
neutral,"Это твоя копия, причем 100%))))))"
positive,"Мааш, я скучаю:*"
negative,"Скоро новый год,а мне до сих пор стыдно за прошлый"
neutral,как то так.
neutral,Любуется природой 😍
neutral,"влюблена в [id30699511|Игоря]..... боже, ну и статус))))"
neutral,"Лучше умру за братьев,чем буду жить без них."
positive,"Моя годами проверенная подруга❤️ подумать только, 18 лет дружбы😱👏🏼 #irpen #love @ ZAIR DISCO CLUB"
neutral,"посмотри до конца,бляяя..

тока не перематывай"
neutral,Пьяное утро.
neutral,"Запах хвои напоминает детство. Пришли мне Веточку, а? :) "
positive,В сауне с девочками :)))
neutral,"в любом стихотворении есть такая строчка, КОТОРАЯ НУ ВООБЩЕ НЕ УЧИТСЯ!"
neutral,если ты опоздаешь я тебя не прощу.
neutral,"Я, кажется, опять  полюбила..."
positive,ахаха...как я устала!!
neutral,"Народ,кто добавлял мою вторую страницу - удалите ее!!!Я ее не создавал,так что фейк,так что удаляйте))"
neutral,Мда... бросаться с крыши нынче стало уже трендом
positive,"На мой бесполезный и ничего в себе не несущий инстаграм подписался Alan, мать его, McGee, жизнь прожита не зря!!"
neutral,"Я даже не знаю, что хуже
Жить с душой среди бездушных
Иль вовсе души не иметь?"
neutral,"Креативность — это просто создание связей между вещами. Когда творческих людей спрашивают, как они что-то сделали, они чувствуют себя немного виноватыми, потому что они не сделали ничего на самом деле, а просто заметили. Это становится им понятно со временем. Они смогли связать разные кусочки своего опыта и синтезировать что-то новое. Это происходит потому, что они пережили и увидели больше, чем другие, или потому, что они больше об этом размышляют. 
Wired, 1996 год 

Я желаю ему всего самого лучшего, правда. Я просто думаю, что он и Microsoft — это все слишком узколобо. Ему пошло бы на пользу, если бы в молодости он побаловался ЛСД или пожил с хиппи. 
О Билле Гейтсе. The New York Times, 1997 год 

"
negative,Хачу обратитца водитилям автобусов можете не курить в автобусе так душно ищо димом травете!
negative,сегодня я понял что надо быть сдержанней несмотря на то с какой сволочью ты ведёшь диалог.( но я не смог)
neutral,"всё равно у каждого из нас 
этим летом случится что-то незабываемое"
neutral,"Лен, что ж у тебя такого случилось, что даже плохой приметой стало???В любом случае-я здесь не причем,честноXD"
neutral,по олдскулу епт
positive,Наш ЙОЗИК=)))
negative,и это называется летом ни солнца ни жары ни пляжа ебанутое лето! Да и ещё дым этот(
negative,Вечная проблема.
neutral,"в мире нет Вечных Двигателей, зато полно Вечных Тормозов"
negative,"интернет, он не сближает. это скопление одиночества. мы вроде вместе, но каждый один."
positive,"Как же зачастую хочется,
чтобы твоя
лучшая подруга жила в
соседней комнате.©"
negative,"скучаю, девулички мои(("
neutral,ты в друзьях у меня уже в первой тройке)
negative,рано или поздно в жизни случается такой момент когда то что от тебя скрывают все те обманы недосказоное и неоправдоное даверие становится явным и верить людям которые живут двойной жизнью больше не хочется... Но каждый сам платит за свои.....
neutral,"РЕБЯТА НУЖНА ПОМОЩЬ ..
что бы меня отпустили в отпуск нужно на работе продать 4 коробки туалетной бумажки.
Та же самая Zeva+.
Продается только упаковками, в одной упаковке 4 рулона и стоит эта мягкая попкина радость 39 рублей.(в магазине, если не ошибаюсь , такая же радость стоит ОТ 40 )
89277821383-звоните

Пожалуйста перепост."
positive,"он тот, с кем я хочу быть всегда
он тот, чья улыбка делает меня самой
счастливой
он тот, кто заставляет меня улыбаться
я поняла с ним, что такое счастье, что
такое душевное тепло, что такое любовь,
я благодарна ему за то, что он всегда
рядом
в трудную минуту он разделяет горе со
мной, а в минуты моего счастья счастлив
больше меня…
его голос для меня, как самая любимая
песня
его взгляд греет мою душу, он — самое
дорогое"
positive,Заебись.чётко. :)
positive,Уже целый месяц без никотина... а вам - слабо?! :)
negative,"Нет повести печальнее на свете, чем повесть о фимозниках и детях: проебали одного из наиболее адекватных [id9873680|админов], вернули высокомерную истеричку из детсада [id191288811|Обдристайзена], лишились создателя и вполне возможно окажутся в бане.

Зато нет ""поцреота"" в админке."
negative,"скажу тебе всего две вещи
что ты совсем блин обнаглел
что не можешь другу даже
смищнявок нА стену залить"
negative,"Возьми стакан,  швырни его об стену,
Теперь проси прощения навзрыд.
Ну что,  свершилось?  Стал обратно целым?
Вот так людей ломает от обид."
neutral,Домашняя колбаса из древесных китайских грибов муэр. Острые...пипец))) Но я сам их такими сделал!
neutral,"Только наверх... Каждый день обгоняя даже свою тень. На самом верху пролетая... Салют небесам!Лузеры много болтают, их в этом проблема !"
neutral,"Я больше не звоню ему. Не стоит… 
Он дал мне столько холода тем летом, 
Что можно было Арктику надстроить, 
Что можно было заморозить всю планету.

Я больше не пишу ему. Не надо… 
Он научил меня как стать циничней. 
Он показал на дверь чужого ада, 
И я брожу там. Мегабезразлична. 

Я больше не ищу его. Зачем мне?... 
Так и не понял слов- ни шепота, ни крика… 
Я даже не ищу ему замену. 
Я стоптана… исчерпана…безлика. 

Мир умер. Я брожу по парапету. 
В попытках рвать саму себя на части… 
И сжаться в ком, и заорать в чужое небо: 
""Я больше не ищу тебя!"" Ты счастлив? 

(Лола Льдова)"
neutral,"""Вова - домой!"" На улицах Донецка тысячи людей с украинскими флагами (фото, видео)"
positive,мать его епт я гений!
negative,"ахахах
кур, это девочка с которой он танцевал на шоу шведском Let's dance
выгнали их! :(
до финала неделя осталась! 
4 место! :(
думала, развеееевусь, как последняя сволочь)"
positive,скоро уже моя мыша приедет^^и я очень рада))да да родная Иванка это про тебя*
neutral,"Ноэль Андерсон, Григорий Сиятвинда, Франклин Онянго итд. Они повсюду

бди"
neutral,И пришла ОНА и живые позавидовали мертвым...
neutral,"""сегодня вас любят, завтра нет, схуяли удивляться я не пойму.”"
neutral,А в Ярославле -22 градуса.. Холодно.
neutral,скоро мы вас всех победим...
neutral,Власти Греции запретили грекам вывозить более 2 тысяч евро наличными | Сводки и новости Новороссии
negative,"Если командир авиалайнера топором рубил дверь пилотской кабины, чтоб спасти 150 пассажиров, то в России почти 140 миллионов пассажиров оберегают кабину своего пилота Путина, чтоб ему никто не смог помешать угробить свою страну!"
neutral,Дредд - первый шаг к экранизации Вархаммера. Ультранасилие + нетерпимость.
positive,ЗСД. Вещь...порадовало
neutral,"Когда мне должно было исполниться 8 лет я мечтал о кубике рубике.
И мне его подарили, но я так и не научился его собирать."
neutral,"Красивых любят чаще и прилежней, веселых любят меньше,но быстрей, - и молчаливых любят, только реже, зато уж если любят, то сильней! Высоцкий!"
neutral,Новый сезон с новым абонементом) Но теперь уже Премьер-лига!!!
neutral,Сам всё прекрасно знаешь. Без лишних слов
neutral,Обычный день в России)
neutral,"послушай песенку,особенно припев=))"
neutral,я тут че вспомнила ))
positive,"Сильный фильм! 
""...мы живём как свиньи и дохнем как свиньи только потому, что мы друг другу никто...""

"
neutral,"Студенческая логика: две пары в день - это дохера, а ради одной и ехать не стоит :)"
neutral,"Изнасиловать бы тебя за то что редко заходишь, да слишком далеко ты :з"
neutral,"В контакте я с февраля 2009-го, с тех пор прошло 5 лет. 5 из прожитых 25-ти. Они пролетели, как сон, в них имела место почти сказка, когда я нашел здесь то, чего, казалось, искал всю жизнь. Письменно было всегда выражаться проще, чем устно. Здесь я выглядел умнее и  более пригляднее, чем в реальной жизни. Сказка закончилась, оставив после себя глубокий след и пустоту. С этой страницей связано очень много - и радостей, и беспросветной печали. Многие удаляют свои старые страницы, думая, что так смогут начать новую жизнь, а прошлое нужно забыть. Это иллюзия и самообман. Прошлое не забывается, оно оставляет свои следы в памяти и в душе, даже если мы насильно пытаемся вытравить из себя все, что было."
neutral,"Вчера стала свидетелем такого диалога:
- А Вы знаете, что вместо Медведева теперь Кудрин?
- Дааа? Неужели?
- Ну я сама-то не знаю. Это мне пациент сегодня рассказал."
negative,"Вот что за херня,почему мне не пишут никогда что я лучший и т.п. ))) А у тебя вся стена в таких надписях,будто сам себе пишешь)"
negative,"Такая безысходность друзья.
Всё так vtlenu.ru."
neutral,"Минобороны Украины больше не берет пленных, люди под белым флагом расстреливаются на месте
"
negative,К завтру надо много прочесть и доделать курсовик... но уже что-то батарейка села в мозгах...
negative,Меня больше нет...
neutral,"Опять потерял ключи от машины, постоянно что то теряю, интересно это нормально, или пора к врачу, а как часто вы теряете мелкие вещи(перчатки, ключи, кошельки. и прочее)"
neutral,Прощание в пятницу с 13.00 до 14.00 в морге 1-ой Городской больницы...
negative,"Какая Нахуй Дружба? нет ее !!! 
Одни предатели кругом)))"
negative,"Жил был человек, веселый такой, жизнь любил, шутки шутил. Но потом влюбился, и скис в говно"
neutral,Ведь за-автра в 7.22 начислят зарплату мне ...а там еще немного и аванс))
positive,Ну мой же...люблю...
neutral,"Если буду болью,ты не страдай..."
positive,бросил курить две недели назад!!!!!!!!
neutral,Выстрел из дробовика в голову...
neutral,Блин подскажите ужастик...очень класный!!!
positive,ахаха У меня сегодня День студента по-украински!! ае!
negative,"19.02.11. 

Обрыв. Тишина. Тупик. 
Гнев, которым сменится паника. 
И пустота. В которой есть я, но не ты. 
Как то все это странно.  Как то не правильно.

От монитора болят глаза. 
От крика за стеной - уши.
Бег по кругу с целью вернутся назад.
Бег от прошлого, с надеждой уже не вернутся.

Где все эти стихи? Потеряны где-то,
В лабиринтах души, в одном из шкафов,
Среди пыли и сотен скелетов.
Там кладбище целое. Я его называю ""Любовь"".

И лиц череда, что сменившись тебя не заменят.
И забудут все то, что для нас было свято.
А после - обрыв. Тишина. И тупик, незаметный.
Что был нам дорогой когда-то..."
positive,Хочу обратно...
positive,"На её губах, мне даже яд покажется желанным и безопасным."
positive,"Парень, который вонзил мне нож в сердце, я все равно люблю тебя."
neutral,К чёрту систему=)
positive,"педальная и сексуальная, я по тебе соскучился. хочу орать песни под гитару. армия - не твое. заканчивай там уже давай нахрен. уважаемые люди (Бодан, Чук и Гек, армянский барон) того же мнения. внатуре."
positive,"Когда любишь, на все минусы наплевать. Для тебя их просто нет. Можно прощать сколько угодно. Можно закрыть глаза на гребанный характер или вредные привычки. Можно дать миллион шансов. Можно всегда ждать человека даже после того, как он бросил тебя. ведь любишь все-таки."
negative,"Обидно, когда ты читаешь великолепную книгу, но тебе даже не с кем поговорить о ней."
positive,Хочу новый год! И чтобы все проблемы остались в этом году! =)
neutral,Давай еще приезжай)_)
positive,Она еще не едет!Ну хотя.....МЫ ВСЕ УЖЕ СКУЧАЕМ😚
positive,Пошагали! Наконец то!!!)))
neutral,"[id11870673|Юрий], Дубровину первую удаляй, мы с ней националисты :-)"
positive,"Говорят, ангелков не бывает.
Так всегда полагала и я,
А потом повстречала тебя,
И земля показалась мне раем.

Я улыбку твою вспоминаю,
Если вдруг одолеет тоска,
Я летаю с тобой в облаках….
Так что ангелы все же бывают!"
positive,"Хочу чтоб поскорее наступил Новый год. Такое чувство, что он что-то изменит"
neutral,Ну такое...
neutral,"Все срутся за политику выражаю свои краткие взгляды.
1)Я за насилие.Почему см. ниже
2)Без насилия все что люди орут остается сотрясением воздуха
3)Систему построенную на принуждении нельзя разрушить без насилия
4)Я поддержу протестующих как только они выпустят первую пулю.
5)Всем похуй на голоса если их не поддерживают ружья.
6)Пока люди не почувствуют ответственность они будут вытирать об вас ноги.
7)ответственность они почувствуют только если поймут что их могут линчевать..

Так что вспомним великую фразу.
Я не знаю красивых слов и не могу сказать речь в поддержку Лютера, но у меня 10 тысяч человек в пригороде так-что это уже не важно!"
neutral,как-то так
negative,та задолбали взламовать ты добавился? но эту не удаляй когда всё наладится я тут буду сидет та запосная!
neutral,95 % моих прогнозов по поводу ситуации на Украине сбылось =)как же долго меня тут не было .
neutral,я заплачу столько денег что даже собственное отражение в зеркале захочет тебя убить...(с)
negative,"да нет 
всё хорошо 
просто в голове куча мыслей
от которых хочется немножко сдохнуть"
neutral,Day 1-ваша любимая фотография
neutral,Правда ли что агхори не верят в сампродайю?
positive,Понять и простить! ахаха)))
neutral,6 парней изменивших мою жизнь)
negative,"Нет слов, одни эмоции..."
neutral,Сладкий сегодня в городе...но не судьба.. ;)
neutral,"Опросы это круто, я даже для них поставил режим микроблога, который я ненавидел, а щас мне на негог уже насрать, я привык!"
positive,Будь поосторожней! ! ! Я тебя очень сильно люблю и дорожу тобой ! ! ! Ты мне очень нужен! ! ! И очень важен! ! ! Возвращайся поскорее ! ! !
neutral,"

Доброго всем времени суток. Нереальная история,которая приключилась со мной на свадьбе в прошлом году!"
negative,Ну почему все хорошее так быстро заканчивается?
neutral,"На стихи Маяковского. Люблю почти так же, как и на Бродского."
neutral,Король в Желтом порвет сегодня много анусов.
negative,что за наезд на родителя!
neutral,"Фото с одного и того же места!Саур-Могила "" Дубок """
positive,"Родная, я если и соглашусь на аватарку с жирафом, то только на такую!!! =)"
neutral,Спустя 13 лет😂😄😆 
neutral,"время ванильных цитаты, которые никому не нужны."
negative,"Как трудно жить,когда тебя бросили..."
neutral,одни момент..
neutral,ой..дай Бог терпения ....или смягчи уголовный кодекс и дай биту..
negative,"Девочки нихуя им не нужен ваш внутренний мир, так что учитесь сосать и готовить."
negative,"Когда мне было 22 года я оформляла опекунства на своего младшего брата, если бы вы знали сколько пришлось услышать унижений от сотрудников социальных служб! Такое впечатление что там сидят черствые тетки у которых нет ни души, ни сердца. Сейчас мне 36 лет, у меня есть все кроме детей. А так хочется свою любовь, ласку, нежность подарить еще кому то. Но с чего начать, я не знаю. Может кто то подскажет?"
neutral,"Богдан, ты меня сломал=ъ"
positive,Мммм))) Теперь мне можно пить спиртное и гулять за ручку с девочками))))
neutral,Это мои песни оцени))
neutral,В Мариуполе крики - совка больше не будет!!!! теперь будет пидофелия)))
neutral,"Когда поднимемся, главное не забывать тех, с кем мелочью скидывались..."
neutral,"ни о чем не жалеть, не любить - не болеть,не бояться не успеть

 
не давать себя догнать, не давать себя до дна никому и никогда"
neutral,уйду в запой...кто солидарен?)
negative,"""К черту! К Дьяволу! Чтоб им сдохнуть! Чертово отродье! 487 миллионов! Козлокозаки долбанутые! Quid? Quid? Quod? Сифилиславия паршивая! Quid? От заславяненной Балтики до Чернобелого моря? Quam? Гады балканые! Псы поганые! Похаблёбка огуречная! Зануды! Отрыжки! Дерьмоглоты! Чхал я на вас! Огромную кучу! Достали! Тыкваква! Бурдаки? Кишмя кишат! Волгарончики! Монголявки! Татароны! Расстахановцы! Жоподовичи! Четыреста тысяч мирьяметров вёрст сраноклятой степи, сплошь ништяк заполошник! Сукозлы! Везувня! Потопень! Сморчки маргавённые! Чтоб вам в очко вонючее царибнуться! Усталин Воровшилов! Свехпланки недоделанные! Транссиберия!"" — Луи-Фердинанд Селин о Советской России."
positive,Ну ты бля красавчик ваще внатуре бля
neutral,Анархисты снова захватили «Аврору» и пальнули из головного орудия
neutral,..Мужчины - не Боги...Им не нужны наши души.
neutral,Кто будет восстанавливать разрушенные города Донбасса ?
neutral,Вроде бы 2 класс😊☺
neutral,Как незаметно летят годы :)
neutral,"Любой человек должен уметь менять пеленки, планировать вторжения, резать свиней, конструировать здания, управлять кораблями, писать сонеты, вести бухгалтерию, возводить стены, вправлять кости, облегчать смерть, исполнять приказы, отдавать приказы, сотрудничать, действовать самостоятельно, решать уравнения, анализировать новые проблемы, побросать навоз, программировать компьютеры, вкусно готовить, хорошо сражаться, достойно умирать. 

Специализация — удел насекомых.

Роберт Хайнлайн, Достаточно времени для любви, 1973"
negative,"Обидки,большие Обидки..."
negative,"Ну это ебать, ну это пиздец)"
neutral,"Снега навалило! @ Выкса,Нижегородской Область"
neutral,"Твои сплетни у меня за спиной делают меня сильнее и стервознее,твоя беспричинная месть делает тебя блядью и повышает мой рейтинг!!!(с)"
neutral,"Что в России сейчас плохо?))
(трэш версия)"
negative,Как они паразиты искусно чаромутят народ.РУСЫ и другие коренные народы должны очнуться от жидовского морока и понять что мы играем на их поле по их правилам. Смотрите Сергея Данилова Марата Харисова.Как уйти от банковского рабства.
positive,"Я посвящу эту песню той, которая по настоящему будет любить меня..."
neutral,"Больница для душевнобольных, Хасавюрт, СССР, 1952."
positive,минутка нежности)))хаха)
negative,"если Вам посрать на все,то так и скажите!Никто удалять не будет,прсто будет надежа только на проверенных людей!"
negative,"[№4]
Знает каждый могильчанин -
Кого в зад админ мочалил:
То Сухотина Ирина -
Престарелая скотина.

В первый раз, как наеблась,
Снизошла на Сушку ""власть"",
Из залупы Иванова
Потекла старухе в пасть.

Тут она преободрилась,
Очень сильно загордилась,
""Власть"" сглотнуть поторопилась, 
В глаз ударилось яйцо.

Сушка сразу прослезилась,
Поперхнулась, подавилась,
От того и блевонула
На своё-же на лицо.

Затекла её отрыжка
В уши, ноздри и подмышки,
И конечно на хуец,
""Всё..."" - решила - ""мне пиздец"".

Но админ не рассердился,
Над старухой наклонился,
Писюном перекрестил
И по-новой засадил."
neutral,...как быстро растут детки...
positive,"Люблю своих друзей. С ними стыдно, зато весело"
neutral,Мои мишки)
negative,Блин . еще одна хрень обнаружилась . мне все уже сказали что видели на рекламе Мондиаль меня . а я там не снималась . не понятно откуда они взяли эти кадры .
positive,"Последнее время в пятницу весь день хочется на тусу, а как наступает вечер, хочется остаться дома и тихо мирно ничего не делать :)"
neutral,Это норма.
positive,"Мне больше нравится, когда красавицы в хлам,
Мне улыбаются, а не каким-то чехлам.
Да мне так хочется вцепиться в твоё тельце, малыш,
Я ты звонишь своей маме."
positive,УУРРРРРРАААААААА!!!!!!! ШИЗГАРРА!!!!!!!! ПОЗДРАВЛЯЮ!!!!!!! ТЕПЕРЬ ПОЛУФИНАЛ!!!!!!!)))))
negative,Ебашь с ноги!
neutral,Вскоре вышла вот эта)
negative,оригинально блять
positive,лета мне хочется уже..
negative,"Культурология, гори в аду!"
neutral,что там в Киеве в мире животных очередное ?
neutral,"Ищите любимых,зима будет холодная."
neutral,"ахххх...каким же надо гением быть, чтобы понимать физику...."
neutral,"Понедельник  , апельсины, интернет🍊
10 дней до НГ🎄🍾"
negative,"фу девки,немного походили с фейк волосами,пофоткались,может хватит?"
positive,"ха ха ха
ха ха ха
""колготки в тему""
ха ха ха"
neutral,"эта та,под которую мы с пионербол играли)я еще на песок падала,а ты как всегда сильно падавала,что выбила мне палец)"
neutral,"Рыбы 
Девушка-Рыбы живет в мире своих иллюзий, она очень чувствительна, плаксива и постоянно страдает из-за ощущения, что ее предали. Рыбка постоянно ждет подтверждения твоих чувств к ней, иначе она изведет себя (а, возможно, и тебя заодно) вечными сомнениями. Но даже получая эти подтверждения по нескольку раз на дню, она в итоге привыкает к ним как к должному, и все продолжается по-новой. В общем, замкнутый круг. 
Весы 
Весы мнительны, скрытны и мелочны. Бывают раздражительны и могут сорвать злость на первом попавшемся под руку, если дела идут не так, как бы ему хотелось. Придумывают себе разные несуществующие проблемы, а потом долго их решают. Имеют много друзей, но по-настоящему почти никому не доверяют."
neutral,Снег скоро растает...
neutral,"Читайте и перепост обязательно! Правда,а не дерьмо которое вам льют в уши наше правительство!!!Российская действительность. Город Глупов » Нижняя Баканка. Как все было. Рассказ очевидца."
neutral,Ща разрулим)))
positive,"Я люблю тебя маленькая , прости меня ... Плохо без тебя"
neutral,"Один пассажир наступил в автобусе другому на ногу. Второй дабы быть квиты сломал ""обидчику"" ногу. ""Око за око"" как принцип талиона в христианском мире? Мы не прощаем, а требуем двойной меры за свою обиду?"
negative,"Вот тогда и наступит время настоящей узаконенной кабалы. А как вы хотели, капитализм-с! Вам запретят досрочно гасить ипотеку."
positive,Скучаю за вами!!!((приезжяйте в гости!
positive,"Мой дорогой и любимый муж🙊. Я тебя очень сильно люблю😘👄💋. Хоть иногда и убить тебя хочется😍😍😍. Но ты вторая часть меня (первая это доча наша🍼)
Я каждый день благодарю Аллаха, что ты у меня есть🙏          
Ухиббука фи-Ллях."
